iter	Accuracy	Logloss
0	0.9771146511	0.4013185605
1	0.9771146511	0.2570001392
2	0.9771146511	0.1856542364
3	0.9771146511	0.1507164833
4	0.9773390173	0.1228160359
5	0.9773390173	0.1062583113
6	0.9775633834	0.0977513045
7	0.9777877496	0.09227296781
8	0.9780121158	0.08529124691
9	0.9780121158	0.08402912348
10	0.9784608481	0.08204074357
11	0.9786852143	0.08072272806
12	0.9789095804	0.07827254337
13	0.9791339466	0.07747287543
14	0.9791339466	0.07628017039
15	0.9793583128	0.07517307737
16	0.9791339466	0.07373282414
17	0.9793583128	0.07187086367
18	0.9798070451	0.07072190761
19	0.9798070451	0.06999380208
20	0.9798070451	0.06918199592
21	0.9798070451	0.06829036337
22	0.9800314113	0.0677847528
23	0.9800314113	0.06739572943
24	0.9802557774	0.06681329626
25	0.9802557774	0.06618222588
26	0.9802557774	0.06563850258
27	0.9802557774	0.06516620367
28	0.9800314113	0.06433189414
29	0.9802557774	0.06345613079
30	0.9802557774	0.06303816954
31	0.9802557774	0.06234274577
32	0.9804801436	0.06212941211
33	0.9804801436	0.06196693004
34	0.9802557774	0.06104618104
35	0.9802557774	0.06073391412
36	0.9802557774	0.0605483532
37	0.9802557774	0.060291762
38	0.9802557774	0.05956234056
39	0.9809288759	0.0586422682
40	0.9813776083	0.05697377633
41	0.9818263406	0.05629879695
42	0.9820507068	0.05586024175
43	0.9820507068	0.05555783854
44	0.9824994391	0.05488345546
45	0.9827238053	0.05451599222
46	0.9827238053	0.05400146338
47	0.9827238053	0.05352920237
48	0.9824994391	0.05298609622
49	0.9827238053	0.05228832522
50	0.9827238053	0.05205722327
51	0.9827238053	0.05162763019
52	0.9827238053	0.05094996815
53	0.9827238053	0.05070579743
54	0.9827238053	0.05039542542
55	0.9827238053	0.05006642868
56	0.9831725376	0.049496094
57	0.9833969037	0.04891301562
58	0.9831725376	0.04840762528
59	0.9833969037	0.04822632627
60	0.9833969037	0.04794910103
61	0.9831725376	0.04760492954
62	0.9831725376	0.0472487738
63	0.9831725376	0.04676246664
64	0.9831725376	0.04651372642
65	0.9831725376	0.04583238179
66	0.9833969037	0.04550917094
67	0.9833969037	0.04517806774
68	0.9842943684	0.04485978411
69	0.9847431007	0.04400090634
70	0.9847431007	0.043604321
71	0.9847431007	0.0432285546
72	0.9849674669	0.04306755817
73	0.9851918331	0.0428590078
74	0.9854161992	0.04264104587
75	0.9856405654	0.04237041404
76	0.9856405654	0.04220899061
77	0.9856405654	0.04183324212
78	0.9858649316	0.04163181851
79	0.9858649316	0.0411488515
80	0.9858649316	0.04088459711
81	0.9860892977	0.04073885362
82	0.9860892977	0.04052436458
83	0.9860892977	0.04024650548
84	0.9863136639	0.03996632362
85	0.9863136639	0.03973410534
86	0.9865380301	0.03961284496
87	0.9869867624	0.0392204526
88	0.9881085932	0.03870079494
89	0.9881085932	0.03851461856
90	0.9878842271	0.03818675922
91	0.9878842271	0.03774612179
92	0.9878842271	0.03749113986
93	0.9881085932	0.03729432073
94	0.9881085932	0.03708330472
95	0.9881085932	0.03693593913
96	0.9881085932	0.03675092059
97	0.9883329594	0.03661416248
98	0.9885573256	0.0363244484
99	0.9885573256	0.03618289629
100	0.9885573256	0.0360394499
101	0.9885573256	0.03591626812
102	0.9885573256	0.03576660459
103	0.9890060579	0.03563954952
104	0.9890060579	0.03546908914
105	0.9890060579	0.03535103633
106	0.9890060579	0.03509227322
107	0.9896791564	0.03473539401
108	0.9896791564	0.03448064869
109	0.9896791564	0.03428483892
110	0.9894547902	0.03398278787
111	0.9899035225	0.03381473213
112	0.9901278887	0.03369923726
113	0.9901278887	0.03345780314
114	0.990576621	0.03320766532
115	0.9910253534	0.03309321737
116	0.9910253534	0.03297983993
117	0.9914740857	0.0328225137
118	0.9903522549	0.03217045763
119	0.9903522549	0.03208756477
120	0.9910253534	0.03178306663
121	0.9912497195	0.03167019845
122	0.9914740857	0.03156821238
123	0.991922818	0.03141752702
124	0.991922818	0.03133004089
125	0.9921471842	0.03118439053
126	0.9923715504	0.03097407834
127	0.9923715504	0.03081583839
128	0.9923715504	0.0307175573
129	0.9930446489	0.03062988133
130	0.9930446489	0.03048688622
131	0.9934933812	0.03032226773
132	0.9934933812	0.03006521315
133	0.993269015	0.02976447655
134	0.9934933812	0.02967527052
135	0.9939421135	0.02942679331
136	0.9937177474	0.02917914514
137	0.9937177474	0.02908621836
138	0.9937177474	0.02894406309
139	0.9939421135	0.02879935398
140	0.994615212	0.02862502383
141	0.994615212	0.02841956802
142	0.994615212	0.02834870203
143	0.994615212	0.02815207561
144	0.9948395782	0.02782243121
145	0.9948395782	0.02771065337
146	0.9948395782	0.02765161568
147	0.9948395782	0.02758427812
148	0.9948395782	0.02747477501
149	0.9948395782	0.02724531554
150	0.9948395782	0.02700606576
151	0.9948395782	0.02674362302
152	0.9950639444	0.02667925667
153	0.9950639444	0.0265653415
154	0.9955126767	0.02649154242
155	0.9955126767	0.02635496517
156	0.9955126767	0.02620681743
157	0.9952883105	0.02609344826
